cast,revenue,movies,return
Alan Ritchson,1570247300.0,3,4.051892616524216
Alan Rubin,115229890.0,1,4.267773703703703
Alan Ruck,470448145.0,3,4.946499856725146
Alan Ruscoe,1573715886.0,2,6.724598357971015
Alan Stuart,190458706.0,1,3.527013074074074
Alan Talbot,191185897.0,1,4.779647425
Alan Tam,0.0,1,0.0
Alan Thicke,0.0,1,0.0
Alan Tilvern,330689438.0,2,6.538182209090909
Alan Tudyk,6505796551.0,10,5.7530375198056
Alan Tuskes,1238764765.0,1,4.95505906
Alan Vint,0.0,1,0.0
Alan Watt,895921036.0,1,5.9728069066666665
Alan Webb,0.0,1,0.0
Alan Weeks,41158757.0,1,22.86597611111111
Alan Wyn Hughes,809342332.0,1,4.496346288888889
Alan Zipson,0.0,1,0.0
Alan Zitner,6739141.0,1,0.842392625
Alan van Sprang,46770602.0,2,1.5590200666666667
Alana Cavanaugh,52424533.0,1,1.4562370277777779
Alana Curry,435000000.0,1,2.175
Alana Drozduke,57223890.0,1,1.0218551785714285
Alana Husband,0.0,1,0.0
Alana Locke,0.0,1,0.0
Alanna Dergan,268157400.0,1,14.897633333333333
Alanna Ubach,801970150.0,6,3.8871427506944443
Alastair Duncan,0.0,1,0.0
Alastair MacIntosh,414351546.0,1,5.115451185185186
Alba Fleming Furlan,40203020.0,1,0.8040604
Alba Foncuberta Bufil,0.0,1,0.0
Alba Francesca,0.0,1,0.0
Albert Brooks,3138820967.0,4,7.741618149252197
Albert Cheung,0.0,1,0.0
Albert Conti,0.0,1,0.0
Albert Dagnant,0.0,1,0.0
Albert Delpy,35768774.0,2,2.9615953703703704
Albert E. Hayes,17762705.0,1,0.8458430952380952
Albert Filozov,0.0,1,0.0
Albert Finney,2247761372.0,5,3.6870407300949055
Albert Gornie,183293131.0,1,7.049735807692308
Albert Hall,457363168.0,1,3.5181782153846153
Albert Henderson,15122000.0,1,0.0
Albert Jones,442824138.0,1,6.326059114285714
Albert Kwan,401128639.0,1,2.7664044068965516
Albert Lampert,0.0,1,0.0
Albert Lee,378858340.0,1,2.5257222666666665
Albert Lerda,65497208.0,1,4.517048827586207
Albert Lieven,28900000.0,1,4.816666666666666
